Project Name,Github Link,Line of Code,TC,WMC,NOC,MHF,AHF,AHF,MIF,AIF,LCOM,COF,COB,POF
Banking System,https://github.com/meyashtiwari/Banking-System,466,2,12.0,0,0.6666666666666666,0.25,1.0,1.0,1.0,3.5,1.0,0.041666666666666664
Hospitalization Charges Application,https://github.com/ajayrandhawa/Hospitalization-Charges-Application-Assignment,226,1,0.0,0,0,0,0,0,1.0,0,1.0,0
Bug Tracking Application,https://github.com/vijaythapa333/BugTrackingApplication,6508,36,5.111111111111111,13,0.8315217391304348,0.985981308411215,1.0,1.0,1.0555555555555556,0.8563492063492063,1.0555555555555556,0.005434782608695652
Barcode Reader Library,https://github.com/barnhill/barcodelib,0,0,0,13,0,0,0,0,0,0,0,0
Huffman Encoding,https://github.com/arslanbilal/Huffman-Code-CSharp,306,4,2.0,14,0,0,1.0,0,1.75,6.0,1.75,0.125
Ebay Oauth Authentication,https://github.com/eBay/ebay-oauth-csharp-client,1346,18,3.111111111111111,15,0.30357142857142855,0.15384615384615385,1.0,1.0,1.6666666666666667,1.4803921568627452,1.6666666666666667,0.017857142857142856
Task Management System,https://github.com/khaledkucse/TaskManagementSystem,5707,44,3.7954545454545454,28,0.6646706586826348,1.0,1.0,1.0,1.8863636363636365,1.5977801268498943,1.8863636363636365,0.005988023952095809
Dental Clinic Management System,https://github.com/ddevilred1/,1337,28,0.0,56,0,0,0,1.0,1.9285714285714286,0.8082010582010583,1.9285714285714286,0
Invoice Managment System,https://github.com/iammemon/Invoice_ManagmentSystem,18,1,0.0,57,0,0,0,0,7.0,0,7.0,0
Cafe Management,https://github.com/kanee98/Cafe_Management,1811,3,22.666666666666668,58,0.7205882352941176,1.0,1.0,1.0,11.0,137.5,11.0,0
